"","STATION_ID","LATITUDE","LONGITUDE","AVG_CPUE"
"160","T-25",61.322175,-173.581905,137151.273891307
"161","T-26",61.32826,-174.31936,151799.998035148
"162","T-27",61.3181,-175.009135,86617.167753293
"163","T-28",61.340875,-175.727785,82204.5986052904
"164","T-29",61.334875,-176.31088,40867.0743260711
"165","T-30",61.32859,-176.96867,37586.4744975129
"166","U-25",61.670585,-173.66495,216345.089611855
"167","U-26",61.667155,-174.479945,171632.214616775
"168","U-27",61.65579,-175.086035,121886.91135687
"169","U-28",61.674895,-175.82856,167534.357245817
"170","U-29",61.65881,-176.44744,45926.8310284926
"171","V-25",61.98327,-173.75066,229711.537312674
"172","V-26",62.01599,-174.49611,295620.198685887
"173","V-27",61.99316,-175.227855,156146.642172228
"174","V-28",61.99729,-175.82884,133864.287160579
